Feature,Importance
tenure,0.18399650826637517
TotalCharges,0.155425710212775
MonthlyCharges,0.12971587139655172
InternetService_Fiber optic,0.09096124008676588
Contract_Two year,0.06733746085349435
PaymentMethod_Electronic check,0.06293636635610524
Contract_One year,0.03529791041060018
InternetService_No,0.03159929024596658
OnlineSecurity,0.027034224912548508
PaperlessBilling,0.026455581599126848
TechSupport,0.020646631443146587
MultipleLines,0.016543868658158864
OnlineBackup,0.014633369787799793
Dependents,0.014456780367419613
Partner,0.01397309052515437
StreamingMovies,0.013741734547518362
gender_Male,0.013156288449814767
StreamingTV,0.01312847965201998
TenureGroup_61-72 Mths,0.011663493074997916
DeviceProtection,0.011079399381193355
PaymentMethod_Credit card (automatic),0.010096411801328236
PaymentMethod_Mailed check,0.008029069470983797
PhoneService,0.007009587289818
TenureGroup_13-24 Mths,0.006701279502861428
TenureGroup_49-60 Mths,0.004962212887774258
TenureGroup_37-48 Mths,0.00482645800198509
TenureGroup_25-36 Mths,0.004591680817716094
SeniorCitizen,0.0
